nbeval fitness
10000 44552.0
10000 44206.0
10000 43831.0
10000 44645.0
10000 44642.0
10000 44612.0
10000 44664.0
10000 44321.0
10000 44295.0
10000 44314.0
10000 44333.0
10000 44215.0
10000 44629.0
10000 44754.0
10000 44565.0
10000 44727.0
10000 43877.0
10000 44344.0
10000 44669.0
10000 44545.0
10000 44391.0
10000 44259.0
10000 44030.0
10000 44181.0
10000 44436.0
10000 44176.0
10000 44755.0
10000 44288.0
10000 44044.0
10000 44325.0
10000 44031.0
10000 44158.0
10000 44129.0
10000 44630.0
10000 44547.0
10000 44492.0
10000 44823.0
10000 43990.0
10000 44180.0
10000 44112.0
10000 44649.0
10000 44666.0
10000 43882.0
10000 44888.0
10000 44501.0
10000 44442.0
10000 44554.0
10000 44092.0
10000 44482.0
10000 44206.0
10000 44135.0
10000 44576.0
10000 44364.0
10000 44325.0
10000 43973.0
10000 44451.0
10000 44133.0
10000 44719.0
10000 44291.0
10000 44724.0
10000 44476.0
10000 44421.0
10000 44706.0
10000 44008.0
10000 44360.0
10000 44086.0
10000 44639.0
10000 43857.0
10000 44529.0
10000 44451.0
10000 44419.0
10000 44398.0
10000 44349.0
10000 44801.0
10000 44143.0
10000 44238.0
10000 44043.0
10000 44558.0
10000 44645.0
10000 44329.0
10000 44128.0
10000 44170.0
10000 44533.0
10000 44150.0
10000 44546.0
10000 44142.0
10000 44885.0
10000 44231.0
10000 44464.0
10000 44547.0
10000 44551.0
10000 43638.0
10000 44776.0
10000 44469.0
10000 44062.0
10000 44684.0
10000 44168.0
10000 44568.0
10000 43833.0
10000 44527.0
10000 44420.0
10000 44640.0
10000 44554.0
10000 44382.0
10000 44296.0
10000 44228.0
10000 44823.0
10000 44779.0
10000 44514.0
10000 44848.0
10000 44114.0
10000 44292.0
10000 44098.0
10000 44420.0
10000 44672.0
10000 44547.0
10000 44584.0
10000 44379.0
10000 44639.0
10000 44534.0
10000 44294.0
10000 44605.0
10000 44363.0
10000 44511.0
10000 44507.0
10000 44182.0
10000 45053.0
10000 44639.0
10000 44256.0
10000 44710.0
10000 44742.0
10000 44682.0
10000 44613.0
10000 44587.0
10000 44463.0
10000 44846.0
10000 44185.0
10000 44614.0
10000 44171.0
