nbeval fitness
10000 35827.0
10000 35988.0
10000 35774.0
10000 35435.0
10000 34214.0
10000 35798.0
10000 35847.0
10000 35593.0
10000 34842.0
10000 34852.0
10000 35836.0
10000 35880.0
10000 36260.0
10000 35671.0
10000 36451.0
10000 36630.0
10000 36584.0
10000 35009.0
10000 36815.0
10000 35176.0
10000 34390.0
10000 35255.0
10000 36019.0
10000 35007.0
10000 35584.0
10000 34849.0
10000 35185.0
10000 35069.0
10000 35852.0
10000 35698.0
10000 35591.0
10000 36146.0
10000 36581.0
10000 36154.0
10000 35082.0
10000 35645.0
10000 35433.0
10000 35082.0
10000 35138.0
10000 36865.0
10000 35166.0
10000 35087.0
10000 35274.0
10000 35765.0
10000 34913.0
10000 34803.0
10000 35969.0
10000 34378.0
10000 35716.0
10000 35972.0
10000 34803.0
10000 35278.0
10000 36341.0
10000 35275.0
10000 35669.0
10000 35752.0
10000 36266.0
10000 35949.0
10000 35490.0
10000 35784.0
10000 35637.0
10000 36410.0
10000 36609.0
10000 35080.0
10000 36089.0
10000 35694.0
10000 36608.0
10000 36200.0
10000 36186.0
10000 35980.0
10000 34097.0
10000 36846.0
10000 36188.0
10000 35964.0
10000 34973.0
10000 35165.0
10000 35113.0
10000 35687.0
10000 34815.0
10000 34658.0
10000 35291.0
10000 35963.0
10000 35349.0
10000 35955.0
10000 36299.0
10000 35502.0
10000 35182.0
10000 35149.0
10000 36110.0
10000 35895.0
10000 34845.0
10000 35238.0
10000 36049.0
10000 35068.0
10000 36560.0
10000 35280.0
10000 34390.0
10000 35571.0
10000 37117.0
10000 35399.0
10000 36107.0
10000 35118.0
10000 36980.0
10000 35209.0
10000 35139.0
10000 35501.0
10000 37223.0
10000 35663.0
10000 36307.0
10000 35308.0
10000 35895.0
10000 35729.0
10000 35308.0
10000 35733.0
10000 35740.0
10000 36222.0
10000 36350.0
10000 35763.0
10000 35386.0
10000 35783.0
10000 36841.0
10000 35451.0
10000 36215.0
10000 35991.0
10000 35335.0
10000 35661.0
10000 35070.0
10000 36503.0
10000 34762.0
10000 35697.0
10000 35651.0
10000 35429.0
10000 35533.0
10000 36396.0
10000 36911.0
10000 35890.0
10000 36078.0
10000 35470.0
10000 35775.0
10000 35487.0
10000 35399.0
10000 35547.0
10000 36077.0
10000 34118.0
10000 36091.0
10000 35973.0
10000 34841.0
10000 34492.0
10000 34995.0
10000 34620.0
10000 36016.0
10000 35383.0
10000 35755.0
10000 35205.0
10000 34931.0
10000 36377.0
10000 35582.0
10000 35063.0
10000 35378.0
10000 36013.0
10000 36651.0
10000 35237.0
10000 36104.0
10000 35503.0
10000 35267.0
10000 35854.0
10000 35641.0
10000 35736.0
10000 35964.0
10000 36381.0
10000 34716.0
10000 35535.0
10000 35342.0
10000 35730.0
10000 36374.0
10000 35677.0
10000 35854.0
10000 35924.0
10000 35132.0
10000 35744.0
10000 35513.0
10000 35193.0
10000 34468.0
10000 35369.0
10000 36387.0
10000 35628.0
10000 35029.0
10000 35287.0
10000 34751.0
10000 35863.0
10000 35956.0
10000 36246.0
10000 36656.0
10000 36112.0
10000 35495.0
10000 36796.0
10000 35838.0
10000 36215.0
10000 35541.0
10000 36864.0
10000 35910.0
10000 35113.0
10000 35498.0
10000 36346.0
10000 34993.0
10000 35183.0
10000 36848.0
10000 36586.0
10000 35614.0
10000 36494.0
10000 36175.0
10000 36287.0
10000 35023.0
10000 35774.0
10000 34704.0
10000 36314.0
10000 34887.0
10000 36663.0
10000 34517.0
10000 35982.0
10000 35908.0
10000 34448.0
10000 36304.0
10000 35183.0
10000 35876.0
10000 36256.0
10000 35972.0
10000 36113.0
10000 36000.0
10000 34744.0
10000 34947.0
10000 35500.0
10000 34651.0
10000 35750.0
10000 35951.0
10000 35056.0
10000 36266.0
10000 36471.0
10000 36383.0
10000 35589.0
10000 35692.0
10000 35829.0
10000 35388.0
10000 35877.0
10000 36426.0
10000 34920.0
10000 35672.0
10000 34794.0
10000 35607.0
10000 35934.0
10000 35616.0
10000 34884.0
10000 35442.0
10000 35144.0
10000 35361.0
10000 34988.0
10000 35189.0
10000 35702.0
10000 35960.0
10000 36305.0
10000 35154.0
10000 35944.0
10000 36221.0
10000 35755.0
10000 36331.0
10000 35976.0
10000 36719.0
10000 34851.0
10000 35788.0
10000 35754.0
10000 35182.0
10000 36084.0
10000 36197.0
10000 34260.0
10000 36090.0
10000 36934.0
10000 35563.0
10000 36236.0
10000 34454.0
10000 36461.0
10000 35564.0
10000 36309.0
10000 35745.0
10000 35436.0
10000 36164.0
10000 35438.0
10000 35411.0
10000 35390.0
10000 35133.0
10000 34867.0
10000 34834.0
10000 36228.0
10000 35675.0
10000 34522.0
10000 35761.0
10000 35978.0
10000 35881.0
10000 35586.0
10000 36079.0
10000 36238.0
10000 35721.0
10000 37049.0
10000 35066.0
10000 34709.0
10000 37248.0
10000 36180.0
10000 34783.0
10000 34972.0
10000 35661.0
10000 37075.0
10000 35632.0
10000 35708.0
10000 35918.0
10000 35386.0
10000 34967.0
10000 36257.0
10000 36626.0
10000 35490.0
10000 35746.0
10000 34778.0
10000 36148.0
10000 35411.0
10000 35076.0
10000 35784.0
10000 35694.0
10000 35056.0
10000 35759.0
10000 36033.0
10000 35705.0
10000 33704.0
10000 35956.0
10000 35332.0
10000 35367.0
10000 35063.0
10000 36489.0
10000 35184.0
10000 35223.0
10000 35515.0
10000 35155.0
10000 34769.0
10000 35143.0
10000 36048.0
10000 35603.0
10000 36410.0
10000 35240.0
10000 36073.0
10000 34751.0
10000 35629.0
10000 36689.0
10000 34887.0
10000 35809.0
10000 36015.0
10000 35754.0
10000 36132.0
10000 35715.0
10000 33760.0
10000 35911.0
10000 35913.0
10000 36012.0
10000 35876.0
10000 34700.0
10000 35564.0
10000 35168.0
10000 34801.0
10000 35930.0
10000 35074.0
10000 36767.0
10000 35406.0
10000 35437.0
10000 36257.0
10000 35629.0
10000 35986.0
10000 36326.0
10000 36305.0
10000 36149.0
10000 35080.0
10000 34776.0
10000 36697.0
10000 35712.0
10000 36323.0
10000 35913.0
10000 35640.0
10000 35489.0
10000 35846.0
10000 35149.0
10000 35490.0
10000 35297.0
10000 35649.0
10000 36668.0
10000 35190.0
10000 36402.0
10000 34775.0
10000 36122.0
10000 35450.0
10000 35835.0
10000 36039.0
10000 35597.0
10000 35656.0
10000 35852.0
10000 36271.0
10000 36099.0
10000 36178.0
10000 36575.0
10000 34783.0
10000 34674.0
10000 35295.0
10000 35073.0
10000 36147.0
10000 36945.0
10000 35528.0
10000 36214.0
10000 36682.0
10000 35403.0
10000 35612.0
10000 36315.0
10000 35576.0
10000 35977.0
10000 35033.0
10000 35689.0
10000 35673.0
10000 35642.0
10000 36346.0
10000 37644.0
10000 34535.0
10000 36074.0
10000 34716.0
10000 35251.0
10000 35710.0
10000 36185.0
10000 36054.0
10000 35957.0
10000 35465.0
10000 36128.0
10000 35219.0
10000 36716.0
10000 35007.0
10000 35339.0
10000 35402.0
10000 34988.0
10000 35228.0
10000 36244.0
10000 35004.0
10000 34853.0
10000 36796.0
10000 35614.0
10000 36185.0
10000 35670.0
10000 34134.0
10000 34760.0
10000 35515.0
10000 35922.0
10000 35820.0
10000 35252.0
10000 34973.0
10000 34751.0
10000 35704.0
10000 36024.0
10000 34574.0
10000 34969.0
10000 35571.0
10000 35315.0
10000 35512.0
10000 35607.0
10000 34845.0
10000 35170.0
10000 35900.0
10000 35567.0
10000 36366.0
10000 35790.0
10000 36025.0
10000 35960.0
10000 35993.0
10000 36126.0
10000 35782.0
10000 35903.0
10000 34438.0
10000 35586.0
10000 34929.0
10000 36942.0
10000 34669.0
10000 35566.0
10000 35636.0
10000 35663.0
10000 36282.0
10000 36605.0
10000 34583.0
10000 35386.0
10000 35752.0
10000 35661.0
10000 34850.0
10000 35509.0
10000 35553.0
10000 36743.0
10000 36183.0
10000 35890.0
10000 34988.0
10000 35021.0
10000 36307.0
10000 36562.0
10000 35002.0
