nbeval fitness
10001 25958.0
10001 26019.0
10001 27233.0
10001 26405.0
10001 24793.0
10001 26158.0
10001 25144.0
10001 25919.0
10001 27357.0
10001 27732.0
10001 27216.0
10001 26047.0
10001 26214.0
10001 25209.0
10001 26553.0
10001 26566.0
10001 25673.0
10001 27120.0
10001 26759.0
10001 26846.0
10001 26080.0
10001 27073.0
10001 26465.0
10001 28791.0
10001 26360.0
10001 27685.0
10001 26447.0
10001 27013.0
10001 26452.0
10001 28132.0
10001 26320.0
10001 26937.0
10001 25552.0
10001 25893.0
10001 25207.0
10001 24999.0
10001 26462.0
10001 25458.0
10001 27201.0
10001 26390.0
10001 25359.0
10001 26411.0
10001 27374.0
10001 24684.0
10001 25466.0
10001 25260.0
10001 26055.0
10001 26238.0
10001 26886.0
10001 26777.0
10001 25784.0
10001 26258.0
10001 26430.0
10001 27424.0
10001 27117.0
10001 27076.0
10001 26224.0
10001 26396.0
10001 26540.0
10001 24950.0
10001 25508.0
10001 26387.0
10001 26410.0
10001 26410.0
10001 25271.0
10001 26421.0
10001 24944.0
10001 24985.0
10001 26547.0
10001 23892.0
10001 24969.0
10001 27430.0
10001 26752.0
10001 26738.0
10001 28040.0
10001 26814.0
10001 25858.0
10001 27551.0
10001 26064.0
10001 25724.0
10001 27242.0
10001 24953.0
10001 27155.0
10001 27166.0
10001 26229.0
10001 27134.0
10001 26698.0
10001 27169.0
10001 26993.0
10001 26924.0
10001 27101.0
10001 25978.0
10001 27526.0
10001 27185.0
10001 26904.0
10001 28203.0
10001 27874.0
10001 24323.0
10001 27254.0
10001 26670.0
10001 25779.0
10001 26521.0
10001 26737.0
10001 27544.0
10001 27004.0
10001 27813.0
10001 27315.0
10001 26253.0
10001 28717.0
10001 26379.0
10001 27941.0
10001 26636.0
10001 27223.0
10001 26528.0
10001 26994.0
10001 26024.0
10001 27605.0
10001 24065.0
10001 26503.0
10001 26987.0
10001 26767.0
10001 26234.0
10001 26694.0
10001 26823.0
10001 25534.0
10001 26598.0
10001 27344.0
10001 25936.0
10001 25465.0
10001 26033.0
10001 26052.0
10001 27336.0
10001 25445.0
10001 25991.0
10001 27786.0
10001 27646.0
10001 25408.0
10001 26851.0
10001 25887.0
10001 26045.0
10001 26195.0
10001 27199.0
10001 28312.0
10001 25886.0
10001 25850.0
10001 27189.0
10001 26776.0
10001 25845.0
10001 25563.0
10001 27723.0
10001 27085.0
10001 27015.0
10001 27387.0
10001 26773.0
10001 26374.0
10001 26815.0
10001 28040.0
10001 26483.0
10001 27008.0
10001 25953.0
10001 26205.0
10001 26012.0
10001 26915.0
10001 25692.0
10001 25551.0
10001 27670.0
10001 27155.0
10001 25902.0
10001 26516.0
10001 28177.0
10001 25481.0
10001 25977.0
10001 26705.0
10001 26571.0
10001 26566.0
10001 26392.0
10001 27351.0
10001 26481.0
10001 26569.0
10001 27081.0
10001 25900.0
10001 26185.0
10001 25801.0
10001 27114.0
10001 26804.0
10001 25688.0
10001 27216.0
10001 24952.0
10001 27064.0
10001 26223.0
10001 26381.0
10001 26903.0
10001 27325.0
10001 27020.0
10001 27682.0
10001 26467.0
10001 28130.0
10001 26343.0
10001 26872.0
10001 26908.0
10001 28014.0
10001 25578.0
10001 26515.0
10001 27137.0
10001 27121.0
10001 26753.0
10001 27135.0
10001 25830.0
10001 24881.0
10001 27777.0
10001 25556.0
10001 26008.0
10001 25888.0
10001 28613.0
10001 24412.0
10001 26079.0
10001 27646.0
10001 27961.0
10001 25586.0
10001 26200.0
10001 26341.0
10001 27930.0
10001 26817.0
10001 26642.0
10001 26285.0
10001 25620.0
10001 24313.0
10001 24995.0
10001 27756.0
10001 27210.0
10001 25715.0
10001 27437.0
10001 26527.0
10001 25801.0
10001 27155.0
10001 26399.0
10001 27519.0
10001 27886.0
10001 27303.0
10001 27470.0
10001 25734.0
10001 26541.0
10001 27295.0
10001 26711.0
10001 27252.0
10001 26040.0
10001 26815.0
10001 24963.0
10001 26958.0
10001 28330.0
10001 25973.0
10001 26752.0
10001 26929.0
10001 27227.0
10001 27471.0
10001 27927.0
10001 26458.0
10001 25403.0
10001 26229.0
10001 27206.0
10001 26749.0
10001 26029.0
10001 27222.0
10001 25753.0
10001 26946.0
10001 26791.0
10001 25190.0
10001 26235.0
10001 26549.0
10001 26761.0
10001 28571.0
10001 25864.0
10001 25926.0
10001 24948.0
10001 26856.0
10001 27337.0
10001 27814.0
10001 26540.0
10001 27187.0
10001 26414.0
10001 26169.0
10001 26742.0
10001 25970.0
10001 26604.0
10001 26727.0
10001 27767.0
10001 25922.0
10001 26204.0
10001 25974.0
10001 26753.0
10001 27203.0
10001 26075.0
10001 28170.0
10001 26485.0
10001 27979.0
10001 27358.0
10001 25689.0
10001 25720.0
10001 27265.0
10001 27814.0
10001 26505.0
10001 28173.0
10001 25778.0
10001 27019.0
10001 26127.0
10001 26640.0
10001 27143.0
10001 27480.0
10001 27145.0
10001 26152.0
10001 26028.0
10001 27480.0
10001 28751.0
10001 26097.0
10001 25873.0
10001 26761.0
10001 24327.0
10001 26102.0
10001 25586.0
10001 25991.0
10001 28800.0
10001 26964.0
10001 26929.0
10001 26771.0
10001 25193.0
10001 27239.0
10001 25103.0
10001 26830.0
10001 26048.0
10001 26238.0
10001 25904.0
10001 27195.0
10001 27576.0
10001 27303.0
10001 25541.0
10001 26744.0
10001 27127.0
10001 26294.0
10001 25775.0
10001 25805.0
10001 25566.0
10001 26014.0
10001 26632.0
10001 26393.0
10001 25723.0
10001 27124.0
10001 25782.0
10001 24728.0
10001 25546.0
10001 25053.0
10001 26655.0
10001 26707.0
10001 25406.0
10001 26178.0
10001 25168.0
10001 25287.0
10001 27429.0
10001 26984.0
10001 26488.0
10001 26428.0
10001 26671.0
10001 24988.0
10001 26310.0
10001 27571.0
10001 25066.0
10001 27270.0
10001 26819.0
10001 25809.0
10001 25159.0
10001 26470.0
10001 25787.0
10001 24440.0
10001 26766.0
10001 25987.0
10001 28322.0
10001 26837.0
10001 26942.0
10001 25342.0
10001 25589.0
10001 26507.0
10001 27088.0
10001 25070.0
10001 26785.0
10001 26339.0
10001 27620.0
10001 26738.0
10001 26862.0
10001 25634.0
10001 26405.0
10001 27270.0
10001 26787.0
10001 26353.0
10001 25509.0
10001 27929.0
10001 28499.0
10001 25918.0
10001 28028.0
10001 25382.0
10001 27467.0
10001 24821.0
10001 26138.0
10001 25076.0
10001 25604.0
10001 25865.0
10001 27006.0
10001 26611.0
10001 27298.0
10001 26194.0
10001 27088.0
10001 27404.0
10001 25851.0
10001 27475.0
10001 27058.0
10001 26054.0
10001 27540.0
10001 25526.0
10001 26976.0
10001 25750.0
10001 25404.0
10001 27814.0
10001 26866.0
10001 26157.0
10001 25256.0
10001 28211.0
10001 26552.0
10001 27314.0
10001 25157.0
10001 26448.0
10001 26165.0
10001 27777.0
10001 25713.0
10001 26484.0
10001 25063.0
10001 26707.0
10001 27149.0
10001 26079.0
10001 24573.0
10001 26593.0
10001 28360.0
10001 26448.0
10001 25440.0
10001 26159.0
10001 26348.0
10001 27968.0
10001 26125.0
10001 25801.0
10001 25415.0
10001 26089.0
10001 25897.0
10001 26002.0
10001 26167.0
10001 25803.0
10001 28854.0
10001 27771.0
10001 27510.0
10001 27487.0
10001 26130.0
10001 25862.0
10001 27342.0
10001 26840.0
10001 25261.0
10001 26980.0
10001 27159.0
10001 27231.0
10001 25494.0
10001 27396.0
10001 26075.0
10001 24971.0
10001 25732.0
10001 26297.0
10001 27077.0
10001 27296.0
10001 27260.0
10001 25998.0
10001 25931.0
