nbeval fitness
1908 36321.0
2637 35087.0
2572 36530.0
1895 35809.0
1782 36896.0
1561 35550.0
1462 35254.0
2135 36344.0
2300 36820.0
1661 36621.0
2412 36445.0
1438 35192.0
641 34692.0
2224 35120.0
758 35440.0
1680 34964.0
1525 35647.0
1648 35975.0
1647 36251.0
2402 36110.0
1577 34849.0
1495 35115.0
1923 35115.0
2626 35621.0
2685 36257.0
1559 35690.0
1433 35468.0
1551 36300.0
1760 35039.0
2021 36358.0
2711 36892.0
2000 36162.0
1747 35889.0
993 35590.0
1692 35622.0
1621 35937.0
807 33880.0
1863 36137.0
1721 34398.0
1782 35870.0
1669 35146.0
2029 35525.0
2209 34922.0
1543 35904.0
1587 36575.0
1538 35062.0
1854 34984.0
1452 35672.0
1375 34503.0
2442 35387.0
1713 37229.0
1653 34945.0
975 34654.0
1287 35972.0
2187 35938.0
1777 36124.0
1718 34982.0
2108 35042.0
1598 36075.0
1776 36370.0
1623 35267.0
1590 35424.0
1858 36518.0
1636 35703.0
633 36038.0
1634 35385.0
1692 35971.0
1702 35877.0
1673 36468.0
1885 36016.0
1093 35873.0
1765 38203.0
1667 34777.0
1615 36245.0
2335 36300.0
1635 36200.0
2058 36284.0
1740 35120.0
2283 36142.0
2126 36103.0
1696 36113.0
1711 34489.0
1523 35894.0
1534 35428.0
462 34671.0
1423 34402.0
1756 35467.0
1476 35255.0
764 36790.0
1718 36310.0
1659 35193.0
2269 35607.0
653 35917.0
1751 35323.0
2173 35646.0
1919 35729.0
2190 35967.0
